user_id,year,month,day,had_drinks,number_of_drinks
3435,2015,5,6,No,0
6735,2015,5,6,No,0
7203,2015,5,6,No,0
3343,2015,5,6,Yes,4
6678,2015,5,6,No,0
7000,2015,5,6,No,0
6652,2015,5,6,Yes,2
6925,2015,5,6,No,0
6847,2015,5,6,Yes,2
2521,2015,5,6,No,0
7200,2015,5,6,Yes,1
5316,2015,5,6,Yes,5
3104,2015,5,6,Yes,6
7208,2015,5,6,No,0
3027,2015,5,6,No,0
1876,2015,5,6,No,0
6195,2015,5,6,No,0
1472,2015,5,6,No,0
7213,2015,5,6,No,0
887,2015,5,6,No,0
2115,2015,5,6,Yes,2
2140,2015,5,6,Yes,3
2477,2015,5,6,No,0
1272,2015,5,6,No,0
2394,2015,5,6,No,0
1849,2015,5,6,No,0
5472,2015,5,6,No,0
2537,2015,5,6,No,0
4290,2015,5,6,No,0
7055,2015,5,6,No,0
819,2015,5,6,No,0
6927,2015,5,6,No,0
6571,2015,5,6,Yes,1
6842,2015,5,6,No,0
4907,2015,5,6,No,0
2696,2015,5,6,No,0
1549,2015,5,6,No,0
7238,2015,5,6,No,0
7242,2015,5,6,No,0
6321,2015,5,6,No,0
6948,2015,5,6,No,0
7227,2015,5,6,No,0
7247,2015,5,6,Yes,1
7240,2015,5,6,No,0
1554,2015,5,6,No,0
3996,2015,5,6,No,0
1589,2015,5,6,No,0
7123,2015,5,6,No,0
7251,2015,5,6,No,0
7257,2015,5,6,No,0
3705,2015,5,6,No,0
3390,2015,5,6,No,0
7181,2015,5,6,No,0
2744,2015,5,6,No,0
6023,2015,5,6,No,0
7256,2015,5,6,No,0
7264,2015,5,6,No,0
3085,2015,5,6,No,0
7260,2015,5,6,No,0
6656,2015,5,6,No,0
1628,2015,5,6,No,0
6815,2015,5,6,No,0
4215,2015,5,6,No,0
1061,2015,5,6,No,0
6883,2015,5,6,Yes,1
3102,2015,5,6,No,0
1060,2015,5,6,No,0
3711,2015,5,6,No,0
1849,2015,5,6,No,0
5861,2015,5,6,No,0
1840,2015,5,6,No,0
6947,2015,5,6,Yes,2
7030,2015,5,6,No,0
3943,2015,5,6,No,0
6532,2015,5,6,No,0
7176,2015,5,6,No,0
1786,2015,5,6,No,0
6299,2015,5,6,No,0
7167,2015,5,6,No,0
7167,2015,5,6,No,0
7167,2015,5,6,No,0
3390,2015,5,7,No,0
7213,2015,5,7,No,0
3804,2015,5,7,Yes,1
6969,2015,5,7,Yes,2
2944,2015,5,7,No,0
6007,2015,5,7,No,0
7247,2015,5,7,No,0
6641,2015,5,7,No,0
7207,2015,5,7,No,0
2115,2015,5,7,Yes,2
7227,2015,5,7,No,0
5131,2015,5,7,No,0
3435,2015,5,7,Yes,2
6925,2015,5,7,No,0
7055,2015,5,7,Yes,1
1472,2015,5,7,No,0
6967,2015,5,7,No,0
2537,2015,5,7,No,0
6927,2015,5,7,No,0
2521,2015,5,7,No,0
3343,2015,5,7,No,0
819,2015,5,7,No,0
6847,2015,5,7,Yes,1
5316,2015,5,7,Yes,4
7208,2015,5,7,Yes,2
6195,2015,5,7,No,0
1549,2015,5,7,No,0
1065,2015,5,7,No,0
887,2015,5,7,No,0
6611,2015,5,7,No,0
4456,2015,5,7,No,0
1876,2015,5,7,No,0
7240,2015,5,7,No,0
5472,2015,5,7,No,0
6023,2015,5,7,No,0
7236,2015,5,7,No,0
1628,2015,5,7,No,0
6678,2015,5,7,No,0
3996,2015,5,7,Yes,1
4469,2015,5,7,No,0
6321,2015,5,7,No,0
7256,2015,5,7,No,0
6658,2015,5,7,Yes,1
3886,2015,5,7,No,0
4656,2015,5,7,Yes,1
7057,2015,5,7,No,0
2744,2015,5,7,No,0
6948,2015,5,7,No,0
2172,2015,5,7,No,0
5481,2015,5,7,No,0
3102,2015,5,7,No,0
7320,2015,5,7,No,0
6875,2015,5,7,No,0
3705,2015,5,7,No,0
7321,2015,5,7,No,0
2977,2015,5,7,Yes,2
5861,2015,5,7,No,0
1957,2015,5,7,No,0
1061,2015,5,7,No,0
6995,2015,5,7,No,0
3711,2015,5,7,No,0
1840,2015,5,7,No,0
6299,2015,5,7,No,0
1786,2015,5,7,No,0
7334,2015,5,8,No,0
4634,2015,5,8,No,0
6641,2015,5,8,No,0
6969,2015,5,8,Yes,2
5472,2015,5,8,No,0
